PILOT_FLY_OPS,OTH_FLT_FLY_OPS,TRAIN_FLY_OPS,PERS_EXP_FLY_OPS,PRO_FLY_OPS,INTERCHG_FLY_OPS,FUEL_FLY_OPS,OIL_FLY_OPS,RENTAL_FLY_OPS,OTHER_FLY_OPS,INS_FLY_OPS,BENEFITS_FLY_OPS,INCIDENT_FLY_OPS,PAY_TAX_FLY_OPS,OTH_TAX_FLY_OPS,OTHER_EXP_FLY_OPS,TOT_FLY_OPS,AIRFRAME_LABOR,ENGINE_LABOR,AIRFRAME_REPAIR,ENGINE_REPAIRS,INTERCHG_CHARG,AIRFRAME_MATERIALS,ENGINE_MATERIALS,AIRFRAME_ALLOW,AIRFRAME_OVERHAULS,ENGINE_ALLOW,ENGINE_OVERHAULS,TOT_DIR_MAINT,AP_MT_BURDEN,TOT_FLT_MAINT_MEMO,NET_OBSOL_PARTS,AIRFRAME_DEP,ENGINE_DEP,PARTS_DEP,ENG_PARTS_DEP,OTH_FLT_EQUIP_DEP,OTH_FLT_EQUIP_DEP_GRP_I,FLT_EQUIP_A_EXP,FLY_OPS_EXP_I_A,TOT_AIR_OP_EXPENSES,DEV_N_PREOP_EXP,OTH_INTANGIBLES,EQUIP_N_HANGAR_DEP,G_PROP_DEP,CAP_LEASES_DEP,TOTAL_AIR_HOURS,AIR_DAYS_ASSIGN,AIR_FUELS_ISSUED,AIRCRAFT_CONFIG,AIRCRAFT_GROUP,AIRCRAFT_TYPE,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER_GROUP_NEW,CARRIER_GROUP,YEAR,QUARTER
3218.76,0.00,1028.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,748.31,0.00,88.71,0.00,0.00,5084.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.45,0.73,0.00,,0.00,0.00,5089.84,,,,,,0.77,0.09,1190.19,2,6,339,19690,HA,Hawaiian Airlines Inc.,HA,Hawaiian Airlines Inc.,05375,D,3,3,2024,1
3236.00,0.00,73.00,291.00,0.00,0.00,11204.00,0.00,369.00,5.00,36.00,913.00,0.00,157.00,0.00,12.00,16296.00,225.00,90.00,277.00,658.00,0.00,492.00,241.00,0.00,0.00,0.00,0.00,1983.00,789.00,2772.00,27.00,695.00,360.00,17.00,56.00,0.00,,57.00,0.00,20280.00,,,,,,2.07,0.16,4474.11,1,6,359,19790,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,01260,D,3,3,2024,3
3246.00,0.00,65.00,259.00,0.00,0.00,8098.00,0.00,328.00,4.00,32.00,813.00,0.00,140.00,0.00,11.00,12996.00,200.00,80.00,247.00,586.00,0.00,438.00,215.00,0.00,0.00,0.00,0.00,1766.00,703.00,2469.00,24.00,619.00,320.00,15.00,50.00,0.00,,51.00,0.00,16544.00,,,,,,1.88,0.14,3233.81,1,6,626,19790,DL,Delta Air Lines Inc.,DL,Delta Air Lines Inc.,10260,L,3,3,2024,3
3260.59,1027.67,171.61,1468.68,0.00,,3518.99,0.00,8666.15,49.59,816.29,25.36,0.00,268.08,0.00,-2.59,19270.42,2014.84,0.00,0.00,0.00,,2485.18,0.00,0.00,0.00,0.00,0.00,4500.02,0.00,4500.02,0.00,0.00,0.00,0.00,105.54,213.14,,539.69,,24628.81,,,,,,3.64,0.59,3858.48,1,6,694,22085,GCA,"Global Crossing Airlines, Inc.",GCA,"Global Crossing Airlines, Inc.",01227,S,2,2,2024,4
3261.19,,324.11,396.30,,,8569.05,,-5.79,,,906.12,-7.17,94.13,16.46,,13554.40,162.52,0.26,265.44,13.90,,561.05,93.79,,,,,1096.95,597.14,1694.10,17.36,1314.65,296.44,4.32,45.65,,,,,16926.91,,,,,,1.84,0.13,3400.50,1,6,889,19977,UA,United Air Lines Inc.,UA,United Air Lines Inc.,10876,L,3,3,2024,3
3268.37,0.00,0.00,123.13,2.94,,14210.77,4.13,477.65,3.07,78.80,663.79,0.00,50.37,80.06,4.82,18967.89,767.64,0.00,1978.83,0.00,,512.86,2435.85,0.00,,0.00,,5695.18,822.08,6517.25,,826.01,322.42,81.34,,,,12.73,,26727.64,,,,,,1.78,0.18,6079.93,2,8,819,19917,5X,United Parcel Service,5X,United Parcel Service,16911,A,3,3,2024,4
3273.00,0.00,193.00,794.00,13.00,,3072.00,,5.00,8.00,38.00,2539.00,,284.00,101.00,308.00,10628.00,0.00,0.00,56.00,,,716.00,406.00,878.00,,345.00,,2401.00,9001.00,11402.00,,1911.00,1350.00,78.00,61.00,,,,,25430.00,,,,,,0.89,0.59,1191.76,2,6,622,20107,FX,Federal Express Corporation,FX,Federal Express Corporation,16196,A,3,3,2024,1
3275.11,,354.62,378.87,,,8978.62,,1.82,,,899.92,25.57,279.47,7.97,,14201.97,155.32,0.27,428.44,10.01,,489.86,62.83,,,,,1146.74,517.74,1664.48,14.37,1392.79,315.29,3.39,39.64,,,,,17631.93,,,,,,1.73,0.13,3129.88,1,6,889,19977,UA,United Air Lines Inc.,UA,United Air Lines Inc.,10876,L,3,3,2024,1
3280.00,,558.00,,,,7175.00,,,,,,,,482.00,604.00,12099.00,0.00,0.00,4.00,31.00,,235.00,29.00,430.00,,0.00,,729.00,2733.00,3462.00,,2440.00,469.00,39.00,5.00,,,,,18514.00,,,,,,1.58,0.38,2618.67,2,6,626,20107,FX,Federal Express Corporation,FX,Federal Express Corporation,16196,A,3,3,2024,1
3310.00,,520.00,,,,7173.00,,,,,,,,485.00,682.00,12170.00,0.00,0.00,0.00,24.00,,361.00,158.00,575.00,,0.00,,1118.00,4879.00,5997.00,,2562.00,493.00,41.00,3.00,,,,,21266.00,,,,,,1.68,0.40,2818.09,2,6,626,20107,FX,Federal Express Corporation,FX,Federal Express Corporation,16196,A,3,3,2024,2
