PILOT_FLY_OPS,OTH_FLT_FLY_OPS,TRAIN_FLY_OPS,PERS_EXP_FLY_OPS,PRO_FLY_OPS,INTERCHG_FLY_OPS,FUEL_FLY_OPS,OIL_FLY_OPS,RENTAL_FLY_OPS,OTHER_FLY_OPS,INS_FLY_OPS,BENEFITS_FLY_OPS,INCIDENT_FLY_OPS,PAY_TAX_FLY_OPS,OTH_TAX_FLY_OPS,OTHER_EXP_FLY_OPS,TOT_FLY_OPS,AIRFRAME_LABOR,ENGINE_LABOR,AIRFRAME_REPAIR,ENGINE_REPAIRS,INTERCHG_CHARG,AIRFRAME_MATERIALS,ENGINE_MATERIALS,AIRFRAME_ALLOW,AIRFRAME_OVERHAULS,ENGINE_ALLOW,ENGINE_OVERHAULS,TOT_DIR_MAINT,AP_MT_BURDEN,TOT_FLT_MAINT_MEMO,NET_OBSOL_PARTS,AIRFRAME_DEP,ENGINE_DEP,PARTS_DEP,ENG_PARTS_DEP,OTH_FLT_EQUIP_DEP,OTH_FLT_EQUIP_DEP_GRP_I,FLT_EQUIP_A_EXP,FLY_OPS_EXP_I_A,TOT_AIR_OP_EXPENSES,DEV_N_PREOP_EXP,OTH_INTANGIBLES,EQUIP_N_HANGAR_DEP,G_PROP_DEP,CAP_LEASES_DEP,TOTAL_AIR_HOURS,AIR_DAYS_ASSIGN,AIR_FUELS_ISSUED,AIRCRAFT_CONFIG,AIRCRAFT_GROUP,AIRCRAFT_TYPE,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER_GROUP_NEW,CARRIER_GROUP,YEAR,QUARTER
2965.41,,255.55,351.40,,,6587.52,,5.31,,8.86,739.01,-1.79,82.98,16.11,,11010.35,212.16,5.47,1142.80,1290.52,,507.05,220.07,,,,,3378.07,686.18,4064.25,274.83,292.56,199.28,44.33,170.54,,,0.10,,16056.22,,,,,,2.47,0.21,2801.93,1,6,622,19977,UA,United Air Lines Inc.,UA,United Air Lines Inc.,10876,L,3,3,2025,3
2976.48,0.00,240.28,1293.25,0.00,0.00,7402.32,40.37,0.00,0.00,387.61,168.34,0.00,179.49,0.00,16.05,12704.17,916.99,0.00,39.80,0.00,0.00,416.88,0.00,0.00,0.00,0.00,0.00,1373.67,0.00,1373.67,0.00,1591.87,765.77,623.43,0.00,0.00,,0.00,,17058.91,,,,,,1.13,1.53,2770.50,2,7,740,21629,KD,Western Global,KD,Western Global,11042,I,2,2,2025,3
2994.91,0.00,22.23,54.11,10.27,0.00,4659.30,0.00,2633.78,0.01,75.61,640.07,0.00,233.06,217.01,0.00,11540.35,611.31,0.00,246.61,6.06,0.00,174.04,373.53,0.00,0.00,0.00,0.00,1411.55,0.00,1411.55,0.00,319.82,71.32,13.15,0.00,0.00,,358.37,,13714.56,,,,,,2.39,0.37,2079.25,1,6,721,20416,NK,Spirit Air Lines,NK,Spirit Air Lines,16831,L,3,3,2025,2
3022.00,0.00,22.79,53.37,10.23,0.00,4763.70,0.00,3001.01,-0.03,71.42,669.55,0.00,149.20,170.49,0.00,11933.71,681.87,0.00,252.71,104.69,0.00,170.83,378.36,0.00,0.00,0.00,0.00,1588.45,0.00,1588.45,0.00,347.39,52.40,13.21,0.00,0.00,,336.43,,14271.58,,,,,,2.34,0.38,2437.15,1,6,699,20416,NK,Spirit Air Lines,NK,Spirit Air Lines,16831,L,3,3,2025,3
3023.50,,231.63,351.63,,,17586.83,,99.00,,8.68,801.80,-19.84,153.46,375.41,,22612.09,231.74,0.87,4011.25,329.81,,981.70,97.88,,,,,5653.27,549.05,6202.32,49.45,562.91,422.80,3.70,39.10,,,26.01,,29918.38,,,,,,8.36,0.98,7081.03,1,6,614,19977,UA,United Air Lines Inc.,UA,United Air Lines Inc.,10877,P,3,3,2025,2
3043.91,,236.21,344.79,,,7124.71,,-0.20,,8.19,758.94,-0.07,85.22,58.57,,11660.27,145.93,0.71,332.17,1894.88,,1159.22,82.07,,,,,3614.98,469.57,4084.55,105.34,635.34,235.79,27.14,72.91,,,1.07,,16822.42,,,,,,1.69,0.14,3032.52,1,6,624,19977,UA,United Air Lines Inc.,UA,United Air Lines Inc.,10876,L,3,3,2025,3
3048.80,0.00,211.36,192.77,0.00,0.00,5789.00,8.81,903.76,0.00,3.24,978.56,0.00,91.26,116.70,0.00,11344.24,533.58,134.05,637.59,920.57,0.00,347.11,411.00,0.00,0.00,0.00,0.00,2983.90,1269.31,4253.20,57.69,512.25,130.04,97.71,0.00,37.61,,52.74,,16485.48,,,,,,2.55,0.39,2519.14,1,6,694,19805,AA,American Airlines Inc.,AA,American Airlines Inc.,10050,L,3,3,2025,3
3065.89,0.00,60.54,524.48,0.00,0.00,10.78,0.00,0.00,0.00,0.00,582.37,0.00,229.58,0.00,27.39,4501.02,717.85,0.00,857.02,1037.35,0.00,622.57,0.00,0.00,0.00,0.00,0.00,3234.79,407.60,3642.40,0.00,809.86,40.37,29.18,0.00,2.25,,10.68,,9035.75,,,,,,8.24,5.61,2832.19,1,6,677,20452,YX,Republic Airline,YX,Republic Airline,06003,D,3,3,2025,3
3148.57,,146.05,302.09,,,4150.82,,335.36,,5.47,836.67,-0.10,160.13,4.18,,9089.23,231.84,0.91,877.72,398.65,,713.11,329.36,,,,,2551.60,683.75,3235.35,51.39,722.11,807.42,54.28,285.64,,,21.58,,14266.99,,,,,,2.61,0.32,1878.22,1,6,698,19977,UA,United Air Lines Inc.,UA,United Air Lines Inc.,10876,L,3,3,2025,2
3149.44,0.00,0.00,166.54,767.39,,2772.73,0.00,660.06,156.53,184.85,533.42,0.00,171.44,0.00,2180.78,10743.16,1738.94,0.00,1640.42,214.50,,419.23,0.00,0.00,0.00,0.00,0.00,4013.10,448.61,4461.71,0.00,1612.77,621.46,520.49,36.10,34.45,,0.00,,18030.14,,,,,,0.94,0.18,859.49,2,6,617,20108,NC,Northern Air Cargo Inc.,NC,Northern Air Cargo Inc.,06721,D,2,2,2025,3
3154.56,,252.79,336.98,,,7325.12,,16.76,,9.35,834.37,2.09,67.96,61.02,,12060.99,176.54,1.06,435.92,1199.81,,2200.20,65.27,,,,,4078.81,1131.18,5209.98,106.89,634.76,238.70,27.60,83.10,,,,,18362.01,,,,,,1.71,0.14,3010.70,1,6,624,19977,UA,United Air Lines Inc.,UA,United Air Lines Inc.,10876,L,3,3,2025,4
3156.44,0.00,218.72,224.53,0.00,0.00,5688.66,9.82,977.06,0.00,3.47,962.29,0.00,168.05,142.04,0.00,11551.06,543.89,138.35,708.51,836.60,0.00,315.20,334.61,0.00,0.00,0.00,0.00,2877.15,1308.87,4186.02,65.81,556.71,136.44,107.23,0.00,41.32,,54.59,,16699.17,,,,,,1.37,0.12,2558.31,1,6,889,19805,AA,American Airlines Inc.,AA,American Airlines Inc.,0A050,D,3,3,2025,2
3159.25,,659.47,573.01,,,7310.15,,142.02,,21.74,827.96,-15.36,275.73,284.14,,13238.09,263.68,0.78,1923.68,9.10,,318.20,25.50,,,,,2540.93,756.97,3297.90,44.99,1893.93,407.57,26.56,56.54,,,,,18965.58,,,,,,1.18,0.09,3029.40,1,6,637,19977,UA,United Air Lines Inc.,UA,United Air Lines Inc.,0A875,D,3,3,2025,1
